                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.3596,                 1.0647,                 1.0898,                0.68366,                0.37523,                0.42127,                0.25118,                  1.249,                0.94046,                 1.0515,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.3589,                 1.0655,                 1.0906,                0.68373,                0.37399,                0.42167,                0.25209,                 1.2486,                0.93967,                 1.0514,               0.009406,               0.009406,               0.009406
                     63,                 1.3578,                 1.0628,                 1.0883,                0.68595,                0.37214,                0.42135,                0.25217,                 1.2482,                0.93916,                 1.0511,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.3538,                 1.0622,                 1.0876,                0.68846,                0.37258,                0.42151,                0.25246,                 1.2481,                0.93861,                  1.051,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.3571,                 1.0655,                 1.0888,                 0.6877,                0.37363,                0.42159,                0.25272,                 1.2476,                0.93814,                 1.0506,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.3563,                  1.065,                  1.089,                0.68875,                0.37328,                0.42142,                0.25275,                 1.2473,                0.93792,                 1.0504,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.3523,                 1.0597,                 1.0883,                0.69045,                0.37558,                0.42171,                0.25269,                 1.2471,                0.93742,                 1.0501,              0.0093565,              0.0093565,              0.0093565
                     68,                  1.352,                 1.0587,                 1.0859,                0.69076,                0.37594,                0.42203,                0.25322,                 1.2468,                0.93661,                 1.0499,              0.0093466,              0.0093466,              0.0093466
                     69,                  1.354,                 1.0584,                 1.0869,                0.69147,                0.37541,                0.42208,                0.25313,                 1.2465,                0.93584,                 1.0496,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.3527,                 1.0574,                 1.0867,                0.69158,                0.37504,                0.42257,                0.25326,                 1.2462,                0.93542,                 1.0494,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.3534,                 1.0596,                 1.0871,                0.69293,                0.37473,                0.42257,                0.25381,                 1.2457,                0.93498,                 1.0491,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.3521,                 1.0573,                  1.086,                0.69413,                0.37224,                0.42276,                0.25415,                 1.2455,                0.93444,                 1.0488,               0.009307,               0.009307,               0.009307
                     73,                  1.351,                 1.0555,                 1.0853,                0.69447,                0.37213,                0.42341,                0.25449,                 1.2454,                0.93396,                 1.0487,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.3503,                 1.0545,                 1.0842,                0.67254,                0.38694,                 0.4239,                0.25476,                 1.2454,                0.93367,                 1.0486,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.3513,                 1.0549,                 1.0852,                0.67404,                0.38701,                0.42403,                0.25453,                 1.2452,                0.93331,                 1.0484,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.3518,                 1.0551,                 1.0841,                0.67447,                0.38713,                0.42433,                0.25473,                 1.2448,                0.93295,                 1.0482,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.3507,                 1.0551,                 1.0855,                0.67121,                0.38877,                0.42494,                0.25484,                 1.2444,                 0.9329,                  1.048,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.3496,                 1.0525,                 1.0837,                0.67034,                0.38859,                0.42515,                0.25528,                 1.2442,                0.93228,                 1.0478,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.3489,                  1.053,                 1.0842,                0.66704,                 0.3901,                0.42525,                0.25539,                 1.2437,                0.93192,                 1.0475,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.3479,                 1.0538,                 1.0839,                0.66862,                 0.3895,                0.42561,                0.25597,                 1.2434,                0.93154,                 1.0474,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.3484,                 1.0522,                 1.0831,                0.66975,                0.39365,                0.42611,                0.25621,                 1.2431,                0.93103,                 1.0473,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.3451,                 1.0514,                 1.0837,                0.67093,                0.39321,                0.42635,                0.25651,                 1.2431,                0.93034,                 1.0471,               0.009208,               0.009208,               0.009208
                     83,                 1.3481,                 1.0505,                 1.0836,                0.66959,                0.39296,                0.42656,                0.25632,                 1.2429,                0.92984,                 1.0469,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.3443,                 1.0471,                 1.0823,                0.67069,                0.39411,                0.42736,                0.25686,                 1.2428,                0.92955,                 1.0468,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.3472,                 1.0482,                 1.0827,                0.67161,                0.39468,                0.42736,                0.25716,                 1.2427,                0.92907,                 1.0466,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.3507,                 1.0519,                 1.0822,                0.67102,                0.39133,                0.42823,                0.25752,                 1.2424,                0.92856,                 1.0465,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.3437,                 1.0486,                 1.0814,                0.67027,                0.39294,                0.42862,                0.25769,                 1.2422,                0.92804,                 1.0462,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.3428,                 1.0479,                 1.0805,                0.67039,                0.39313,                0.42952,                0.25808,                 1.2418,                0.92747,                 1.0459,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.3445,                 1.0465,                 1.0814,                0.67133,                 0.3929,                0.42985,                0.25826,                 1.2414,                  0.927,                 1.0456,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.3455,                 1.0484,                 1.0814,                0.67319,                 0.3919,                0.43069,                0.25894,                 1.2414,                0.92683,                 1.0455,              0.0091288,              0.0091288,              0.0091288
                     91,                 1.3438,                 1.0467,                  1.082,                0.67209,                0.39251,                0.43112,                0.25865,                  1.241,                0.92666,                 1.0453,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.3439,                 1.0437,                 1.0822,                0.67686,                0.39217,                0.43145,                0.25875,                 1.2409,                0.92616,                 1.0452,               0.009109,               0.009109,               0.009109
                     93,                 1.3456,                 1.0453,                 1.0814,                0.67467,                0.39245,                0.43096,                0.25874,                 1.2406,                0.92582,                 1.0449,              0.0090991,              0.0090991,              0.0090991
                     94,                  1.346,                 1.0468,                 1.0818,                0.67626,                0.39192,                0.43103,                0.25879,                 1.2405,                0.92538,                 1.0447,              0.0090892,              0.0090892,              0.0090892
                     95,                 1.3443,                 1.0443,                  1.081,                0.67689,                0.39221,                0.43081,                  0.259,                 1.2403,                0.92481,                 1.0445,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.3408,                 1.0421,                 1.0802,                0.67672,                0.39212,                0.43133,                0.25928,                 1.2402,                 0.9247,                 1.0443,              0.0090694,              0.0090694,              0.0090694
                     97,                 1.3452,                 1.0454,                 1.0815,                0.67477,                0.39278,                0.43179,                0.25951,                   1.24,                0.92405,                 1.0441,              0.0090595,              0.0090595,              0.0090595
                     98,                  1.347,                 1.0499,                  1.082,                 0.6791,                0.39579,                0.43205,                0.25972,                   1.24,                0.92355,                  1.044,              0.0090496,              0.0090496,              0.0090496
                     99,                 1.3414,                 1.0407,                 1.0797,                0.67666,                0.39752,                0.43207,                0.25961,                 1.2396,                0.92314,                 1.0437,              0.0090397,              0.0090397,              0.0090397
                    100,                 1.3393,                 1.0424,                 1.0809,                 0.6782,                 0.3978,                0.43227,                0.25981,                 1.2393,                0.92251,                 1.0435,              0.0090298,              0.0090298,              0.0090298
                    101,                 1.3406,                 1.0411,                 1.0791,                0.67605,                0.39855,                0.43261,                0.26032,                 1.2394,                0.92221,                 1.0436,              0.0090199,              0.0090199,              0.0090199
                    102,                 1.3415,                 1.0419,                 1.0795,                0.67768,                0.39807,                 0.4328,                0.26033,                 1.2391,                0.92178,                 1.0434,                0.00901,                0.00901,                0.00901
                    103,                 1.3424,                 1.0427,                 1.0799,                0.67643,                0.39795,                0.43267,                0.26066,                 1.2391,                0.92136,                 1.0433,              0.0090001,              0.0090001,              0.0090001
                    104,                 1.3409,                 1.0448,                 1.0801,                0.67733,                 0.3991,                0.43288,                0.26073,                 1.2389,                0.92104,                 1.0432,              0.0089902,              0.0089902,              0.0089902
                    105,                 1.3417,                 1.0429,                 1.0802,                0.67769,                0.39914,                0.43306,                 0.2607,                 1.2388,                0.92067,                  1.043,              0.0089803,              0.0089803,              0.0089803
                    106,                 1.3428,                 1.0419,                 1.0796,                0.67687,                0.39908,                0.43328,                0.26101,                 1.2388,                0.92022,                 1.0429,              0.0089704,              0.0089704,              0.0089704
                    107,                 1.3426,                 1.0434,                 1.0806,                0.67697,                0.39898,                0.43375,                0.26148,                 1.2385,                0.92004,                 1.0428,              0.0089605,              0.0089605,              0.0089605
                    108,                 1.3366,                  1.036,                 1.0774,                0.67771,                0.39856,                0.43384,                0.26125,                 1.2385,                0.91976,                 1.0426,              0.0089506,              0.0089506,              0.0089506
                    109,                 1.3424,                 1.0405,                 1.0798,                0.67601,                0.39982,                0.43433,                0.26152,                 1.2384,                0.91939,                 1.0424,              0.0089407,              0.0089407,              0.0089407
                    110,                 1.3388,                 1.0385,                 1.0774,                0.67342,                0.40046,                0.43508,                0.26191,                  1.238,                0.91912,                 1.0422,              0.0089308,              0.0089308,              0.0089308
                    111,                 1.3358,                 1.0378,                 1.0779,                 0.6746,                0.40067,                0.43515,                0.26184,                 1.2377,                0.91861,                 1.0421,              0.0089209,              0.0089209,              0.0089209
                    112,                 1.3416,                 1.0415,                 1.0798,                 0.6735,                0.39997,                0.43544,                0.26205,                 1.2377,                0.91842,                  1.042,               0.008911,               0.008911,               0.008911
                    113,                 1.3421,                  1.042,                 1.0796,                 0.6712,                0.39935,                0.43506,                0.26193,                 1.2376,                0.91811,                 1.0421,              0.0089011,              0.0089011,              0.0089011
                    114,                 1.3404,                 1.0396,                 1.0789,                0.67737,                0.39688,                0.43575,                0.26229,                 1.2374,                0.91794,                 1.0419,              0.0088912,              0.0088912,              0.0088912
                    115,                 1.3366,                 1.0371,                 1.0776,                0.68791,                 0.3946,                0.43604,                0.26263,                 1.2373,                0.91784,                 1.0418,              0.0088813,              0.0088813,              0.0088813
